###
# AVA Chat Engine is a chat bot API.
# 
# Copyright (C) 2015-2019  Asurion, LLC
# 
# AVA Chat Engine is free software: you can redistribute it and/or modify
# it under the terms of the GNU General Public License as published by
# the Free Software Foundation, either version 3 of the License, or
# (at your option) any later version.
# 
# AVA Chat Engine is distributed in the hope that it will be useful,
# but WITHOUT ANY WARRANTY; without even the implied warranty of
# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
# GNU General Public License for more details.
# 
# You should have received a copy of the GNU General Public License
# along with AVA Chat Engine.  If not, see <https://www.gnu.org/licenses/>.
###
Model_Code,Make,Model,Display Name
unknown274,lge,spectrum 2,Lge Spectrum 2
unknown246,lge,spirit 4g,Lge Spirit 4G
unknown251,lge,thrill 4g,Lge Thrill 4G
MOTOROLA,Motorola,2950,Motorola 2950
MOTOROLA,Motorola,2950B,Motorola 2950B 
MOTOROLA,Motorola,3000VB,Motorola 3000VB
MOTOROLA,Motorola,388C,Motorola 388C
MOTOROLA,Motorola,4500,Motorola 4500
MOTOROLA,Motorola,8000M,Motorola 8000M 
MOTOROLA,Motorola,950,Motorola 950
MOTOROLA,Motorola,A840,Motorola A840
MOTOROLA,Motorola,Adventure,Motorola Adventure 
MOTOROLA,Motorola,Barrage,Motorola Barrage 
MOTOROLA,Motorola,C333,Motorola C333
MOTOROLA,Motorola,C333G,Motorola C333G 
MOTOROLA,Motorola,C341,Motorola C341
MOTOROLA,Motorola,C343,Motorola C343
MOTOROLA,Motorola,C343A,Motorola C343A 
MOTOROLA,Motorola,CITRUS,Motorola CITRUS
MOTOROLA,Motorola,DEVOUR,Motorola DEVOUR
MOTOROLA,Motorola,DROID 2,Motorola DROID 2 
MOTOROLA,Motorola,DROID 2 Global,Motorola DROID 2 Global
MOTOROLA,Motorola,DROID 2 Star Wars,Motorola DROID 2 Star Wars 
MOTOROLA,Motorola,DROID 3,Motorola DROID 3 
MOTOROLA,Motorola,DROID 4,Motorola DROID 4 
MOTOROLA,Motorola,DROID Bionic,Motorola DROID Bionic
MOTOROLA,Motorola,Droid MAXX 2,Motorola Droid MAXX 2
MOTOROLA,Motorola,Droid Maxx,Motorola Droid Maxx
MOTOROLA,Motorola,DROID Mini,Motorola DROID Mini
MOTOROLA,Motorola,Droid Razor 2,Motorola Droid Razor 2 
MOTOROLA,Motorola,Droid Razor HD Max,Motorola Droid Razor HD Max
MOTOROLA,Motorola,Droid Razor Max,Motorola Droid Razor Max 
MOTOROLA,Motorola,Droid Razor M,Motorola Droid Razor M 
MOTOROLA,Motorola,DROID RAZR HD,Motorola DROID RAZR HD
MOTOROLA,Motorola,DROID RAZR MAXX HD,Motorola DROID RAZR MAXX HD 
MOTOROLA,Motorola,Droid RAZR MAXX,Motorola Droid RAZR MAXX 
MOTOROLA,Motorola,Droid RAZR,Motorola Droid RAZR
MOTOROLA,Motorola,DROID TURBO 2,Motorola DROID TURBO 2 
MOTOROLA,Motorola,Droid Turbo,Motorola Droid Turbo
MOTOROLA,Motorola,Droid Ultra,Motorola Droid Ultra 
MOTOROLA,Motorola,Droid X,Motorola Droid X 
MOTOROLA,Motorola,Droid X,Motorola Droid X 
MOTOROLA,Motorola,DROID X2,Motorola DROID X2
MOTOROLA,Motorola,DROID XYBOARD 10.1,Motorola DROID XYBOARD 10.1
MOTOROLA,Motorola,DROID XYBOARD 8.2,Motorola DROID XYBOARD 8.2
MOTOROLA,Motorola,DROIDPRO,Motorola DROIDPRO
MOTOROLA,Motorola,DROID,Motorola DROID 
MOTOROLA,Motorola,E310,Motorola E310
MOTOROLA,Motorola,E815,Motorola E815
MOTOROLA,Motorola,Entice,Motorola Entice
MOTOROLA,Motorola,Evoke,Motorola Evoke 
MOTOROLA,Motorola,i550,Motorola i550
MOTOROLA,Motorola,Krave,Motorola Krave 
MOTOROLA,Motorola,KRZR,Motorola KRZR
MOTOROLA,Motorola,LiteII,Motorola LiteII
MOTOROLA,Motorola,MaxxVe,Motorola MaxxVe
MOTOROLA,Motorola,MILESTNXHB,Motorola MILESTNXHB
MOTOROLA,Motorola,Milestone,Motorola Milestone 
MOTOROLA,Motorola,Moto X (1st Gen.),Motorola Moto X (1st Gen.)
MOTOROLA,Motorola,moto X (2nd Gen),Motorola moto X (2nd Gen)
MOTOROLA,Motorola,Moto X Pure,Motorola Moto X Pure
MOTOROLA,Motorola,moto X,Motorola moto X
MOTOROLA,Motorola,Moto Z Droid,Motorola Moto Z Droid
MOTOROLA,Motorola,Moto Z Force Droid,Motorola Moto Z Force Droid
MOTOROLA,Motorola,Moto Z Play,Motorola Moto Z Play
MOTOROLA,Motorola,MOTOXPURE64,Motorola MOTOXPURE64 
MOTOROLA,Motorola,MOTOZ2P,Motorola MOTOZ2P
MOTOROLA,Motorola,MT325,Motorola MT325 
MOTOROLA,Motorola,Nexus 6,Motorola Nexus 6 
MOTOROLA,Motorola,P8160,Motorola P8160 
MOTOROLA,Motorola,P8767,Motorola P8767 
MOTOROLA,Motorola,Piper,Motorola Piper 
MOTOROLA,Motorola,Q,Motorola Q
MOTOROLA,Motorola,Q9C,Motorola Q9C 
MOTOROLA,Motorola,Q9M,Motorola Q9M 
MOTOROLA,Motorola,QA30,Motorola QA30
MOTOROLA,Motorola,Qb,Motorola Qb
MOTOROLA,Motorola,Quantico,Motorola Quantico
MOTOROLA,Motorola,Rapture,Motorola Rapture 
MOTOROLA,Motorola,Razor,Motorola Razor
MOTOROLA,Motorola,RAZR,Motorola RAZR
MOTOROLA,Motorola,Razr V3A,Motorola Razr V3A
MOTOROLA,Motorola,RAZRV3ALAV,Motorola RAZRV3ALAV
MOTOROLA,Motorola,RAZRV3C,Motorola RAZRV3C 
MOTOROLA,Motorola,RAZRV3CBT,Motorola RAZRV3CBT 
MOTOROLA,Motorola,RAZRV3CMG,Motorola RAZRV3CMG
MOTOROLA,Motorola,RAZRV3CMP,Motorola RAZRV3CMP
MOTOROLA,Motorola,RAZRV3CMR,Motorola RAZRV3CMR
MOTOROLA,Motorola,RAZRV3CMS,Motorola RAZRV3CMS
MOTOROLA,Motorola,RAZRV3CP,Motorola RAZRV3CP
MOTOROLA,Motorola,RAZRV9M,Motorola RAZRV9M 
MOTOROLA,Motorola,Rival,Motorola Rival
MOTOROLA,Motorola,Rokr,Motorola Rokr
MOTOROLA,Motorola,SC3160,Motorola SC3160
MOTOROLA,Motorola,SLVRL7C,Motorola SLVRL7C
MOTOROLA,Motorola,ST3000,Motorola ST3000
MOTOROLA,Motorola,ST6000,Motorola ST6000
MOTOROLA,Motorola,ST6500,Motorola ST6500
MOTOROLA,Motorola,ST7760,Motorola ST7760
MOTOROLA,Motorola,ST7762,Motorola ST7762
MOTOROLA,Motorola,ST7860,Motorola ST7860
MOTOROLA,Motorola,ST7868,Motorola ST7868
MOTOROLA,Motorola,ST8500,Motorola ST8500
MOTOROLA,Motorola,T2260,Motorola T2260 
MOTOROLA,Motorola,T2290,Motorola T2290 
MOTOROLA,Motorola,T300P,Motorola T300P 
MOTOROLA,Motorola,T720,Motorola T720
MOTOROLA,Motorola,T720C,Motorola T720C 
MOTOROLA,Motorola,T730C,Motorola T730C 
MOTOROLA,Motorola,T731C,Motorola T731C 
MOTOROLA,Motorola,T8160,Motorola T8160 
MOTOROLA,Motorola,Timeport,Motorola Timeport
MOTOROLA,Motorola,TT250,Motorola TT250 
MOTOROLA,Motorola,UCII,Motorola UCII
MOTOROLA,Motorola,ULPRO,Motorola ULPRO 
MOTOROLA,Motorola,V120C,Motorola V120C 
MOTOROLA,Motorola,V120C,Motorola V120C
MOTOROLA,Motorola,V120E,Motorola V120E 
MOTOROLA,Motorola,V120X,Motorola V120X 
MOTOROLA,Motorola,V180,Motorola V180
MOTOROLA,Motorola,V200,Motorola V200
MOTOROLA,Motorola,V220,Motorola V220
MOTOROLA,Motorola,V2260,Motorola V2260 
MOTOROLA,Motorola,V260,Motorola V260
MOTOROLA,Motorola,V262,Motorola V262
MOTOROLA,Motorola,V265,Motorola V265
MOTOROLA,Motorola,V265,Motorola V265
MOTOROLA,Motorola,V265BLA,Motorola V265BLA 
MOTOROLA,Motorola,V266,Motorola V266
MOTOROLA,Motorola,V276,Motorola V276
MOTOROLA,Motorola,V323,Motorola V323
MOTOROLA,Motorola,V323i,Motorola V323i
MOTOROLA,Motorola,V325,Motorola V325
MOTOROLA,Motorola,V325i,Motorola V325i 
MOTOROLA,Motorola,V325xi,Motorola V325xi
MOTOROLA,Motorola,V3620,Motorola V3620 
MOTOROLA,Motorola,V600,Motorola V600
MOTOROLA,Motorola,V60C,Motorola V60C
MOTOROLA,Motorola,V60IC,Motorola V60IC 
MOTOROLA,Motorola,V60P,Motorola V60P
MOTOROLA,Motorola,V60S,Motorola V60S
MOTOROLA,Motorola,V65P,Motorola V65P
MOTOROLA,Motorola,V65S,Motorola V65S
MOTOROLA,Motorola,V70,Motorola V70 
MOTOROLA,Motorola,V710,Motorola V710
MOTOROLA,Motorola,V810,Motorola V810
MOTOROLA,Motorola,V8160,Motorola V8160 
MOTOROLA,Motorola,V860NC,Motorola V860NC
MOTOROLA,Motorola,VE465,Motorola VE465 
MOTOROLA,Motorola,VU204,Motorola VU204 
MOTOROLA,Motorola,W315,Motorola W315
MOTOROLA,Motorola,W315ASH,Motorola W315ASH
MOTOROLA,Motorola,W315BLA,Motorola W315BLA
MOTOROLA,Motorola,W385,Motorola W385
MOTOROLA,Motorola,W755,Motorola W755
MOTOROLA,Motorola,XOOM,Motorola XOOM
MOTOROLA,Motorola,XOOM,Motorola XOOM
MOTOROLA,Motorola,Z2FORCE,Motorola Z2FORCE
MOTOROLA,Motorola,Z6C,Motorola Z6C 
MOTOROLA,Motorola,Z6CX,Motorola Z6CX
MOTOROLA,Motorola,Z6TV,Motorola Z6TV
MOTOROLA,Motorola,ZFORCERGD,Motorola ZFORCERGD
mb526,moto,defy,Moto Defy
mb865,motorola,atrix,Motorola Atrix
mb886,motorola,atrix hd,Motorola Atrix Hd
droid4,motorola,droid 4 iv,Motorola Droid 4 Iv
droid bionic,motorola,droid bionic,Motorola Droid Bionic
unknown464,motorola,droid maxx 2,Motorola Droid Maxx 2
xt1030,motorola,droid mini,Motorola Droid Mini
droid razr,motorola,droid razr,Motorola Droid Razr
droid razr hd,motorola,droid razr hd,Motorola Droid Razr Hd
xt1254,motorola,droid turbo,Motorola Droid Turbo
xt1080,motorola,droid ultra,Motorola Droid Ultra
mz617,motorola,droid xy board,Motorola Droid Xy Board
xt1019,motorola,moto e,Motorola Moto E
xt1019,motorola,moto e5 play,Motorola moto e5 play
moto g,motorola,moto g,Motorola Moto G
moto g6,motorola,moto g6,Motorola moto g6
moto g7,motorola,moto g7,Motorola moto g7
moto x,motorola,moto x,Motorola Moto X
motorola z,motorola,moto z,Motorola Moto Z
motorola z3,motorola,moto z3,Motorola Moto Z3
motorola z4,motorola,moto z4,Motorola Moto Z4
xt1095,motorola,moto x pure edition,Motorola Moto X Pure Edition
nexus 6,motorola,nexus 6,Motorola Nexus 6
xt897,motorola,photon q,Motorola Photon Q
xt910,motorola,razr,Motorola Razr
xt918,motorola,razr d 1 i,Motorola Razr D 1 I
xt920,motorola,razr d 3 iii,Motorola Razr D 3 Iii
xt925,motorola,razr hd,Motorola Razr Hd
motorola razr maxx,motorola,razr maxx,Motorola Razr Maxx
xt890,motorola,razri razr i,Motorola Razri Razr I
